Publisher: perisse, Size: 11
Publisher: rusand, Size: 9
Publisher: chambeau, Size: 4
Publisher: chaul, Size: 3
Publisher: hanicq, Size: 3
Publisher: mquignon, Size: 3
Publisher: carez, Size: 2
Publisher: lefort, Size: 2
Publisher: vannier, Size: 2
Publisher: fischer, Size: 2
Publisher: bellegarrigue, Size: 2
Publisher: hissette, Size: 1
Publisher: degouy, Size: 1
Publisher: savy, Size: 1
Publisher: libraire ecclsiastique, Size: 1
Publisher: galles, Size: 1
Publisher: prudont, Size: 1
Publisher: delalain, Size: 1
Publisher: caron, Size: 1
Publisher: aumont, Size: 1
Publisher: boissel, Size: 1
Publisher: librairie de la socit typographique, Size: 1
Publisher: dehansy, Size: 1
Publisher: goy, Size: 1
Publisher: fauvet jaune, Size: 1
Publisher: darnaultmaurant, Size: 1
Publisher: nyon, Size: 1
Publisher: mellinetmalassis, Size: 1
Publisher: manavit, Size: 1
Publisher: saintmichel, Size: 1
Publisher: mguinon, Size: 1
Publisher: lambertgentot, Size: 1
Publisher: mame, Size: 1
Publisher: deckherr, Size: 1
Publisher: pavie, Size: 1
Publisher: hnault, Size: 1
Publisher: lefuel, Size: 1
Publisher: joly, Size: 1
Publisher: berquier, Size: 1
Publisher: barret, Size: 1
Publisher: begyn, Size: 1
Publisher: vieusseux, Size: 1
Publisher: chaillot, Size: 1
Publisher: fid anner, Size: 1
Publisher: trotot, Size: 1
Publisher: couch, Size: 1
Publisher: montarsolo, Size: 1
Publisher: busseuil, Size: 1
Publisher: duculotroulin, Size: 1
Publisher: picut, Size: 1
Publisher: aubanel, Size: 1
Publisher: montal, Size: 1
Publisher: saintour, Size: 1
Publisher: boiste, Size: 1
