Publisher: parent-desbarres, Size: 28
Publisher: bureau de la des livres de piété, Size: 25
Publisher: perisse, Size: 22
Publisher: sguin, Size: 18
Publisher: casterman, Size: 17
Publisher: gaume, Size: 10
Publisher: marietti, Size: 9
Publisher: lefort, Size: 9
Publisher: thibaud, Size: 7
Publisher: landriot, Size: 6
Publisher: joly, Size: 5
Publisher: association catholique du sacré-coeur, Size: 5
Publisher: lesne, Size: 4
Publisher: gauthier, Size: 4
Publisher: plagaud, Size: 4
Publisher: belon, Size: 3
Publisher: outheninchalandre, Size: 3
Publisher: caron, Size: 2
Publisher: crozet, Size: 2
Publisher: bthune, Size: 2
Publisher: nan, Size: 2
Publisher: laguerre, Size: 2
Publisher: dureau, Size: 2
Publisher: clermont librairie catholique, Size: 2
Publisher: sauvignet, Size: 2
Publisher: vitet, Size: 2
Publisher: pillot, Size: 2
Publisher: prudont, Size: 2
Publisher: librairie catholique, Size: 2
Publisher: prudhomme, Size: 2
Publisher: fricadeldubiez, Size: 2
Publisher: clermont, Size: 1
Publisher: bricon, Size: 1
Publisher: veysset, Size: 1
Publisher: aimburdet, Size: 1
Publisher: fischerjoly, Size: 1
Publisher: bousquetoffray, Size: 1
Publisher: mossy, Size: 1
Publisher: ardant, Size: 1
Publisher: vieusseux, Size: 1
Publisher: monnoyer, Size: 1
Publisher: guyot, Size: 1
Publisher: escoffier, Size: 1
Publisher: vial, Size: 1
Publisher: vannier, Size: 1
Publisher: peltier, Size: 1
Publisher: thiriot, Size: 1
Publisher: simon, Size: 1
Publisher: faguier, Size: 1
Publisher: adam, Size: 1
Publisher: boget, Size: 1
Publisher: offray, Size: 1
Publisher: petit, Size: 1
Publisher: sainton, Size: 1
Publisher: beaucrusand, Size: 1
Publisher: haener, Size: 1
Publisher: ignon, Size: 1
Publisher: paya, Size: 1
Publisher: langlum, Size: 1
Publisher: van linthout, Size: 1
Publisher: boissel, Size: 1
Publisher: didier, Size: 1
Publisher: sens, Size: 1
Publisher: popelain, Size: 1
Publisher: ponston, Size: 1
Publisher: rusand, Size: 1
Publisher: hoener, Size: 1
Publisher: chaillot, Size: 1
Publisher: alzine, Size: 1
Publisher: poussielguerusand, Size: 1
Publisher: denn, Size: 1
Publisher: belin, Size: 1
Publisher: fischer, Size: 1
Publisher: ptri, Size: 1
Publisher: paravia, Size: 1
Publisher: couanon, Size: 1
Publisher: busseuil, Size: 1
Publisher: pouston, Size: 1
Publisher: marquiset, Size: 1
